#  Num_showers:5 
#  E_primary (GeV): 100000 
#  ID_prim_particle: 1 
#  Seeds: 11, 5 
#  Theta prim. part. incidence: 30 deg 
#  Obs level (cm): 220000 
#  Atmosp model: 1 
#  Cerenk_bunch_size: 10 
#  Fluor_bunch_size: 3 
#   
#  Depth(g/cm**2) E_Dep(GeV)
   5 9.731380e-03
  15 2.330881e-02
  25 5.379906e-02
  35 1.928260e-01
  45 4.283024e-01
  55 1.022613e+00
  65 2.081785e+00
  75 4.003883e+00
  85 6.902830e+00
  95 1.223097e+01
 105 1.856271e+01
 115 2.744663e+01
 125 6.336552e+01
 135 5.798032e+01
 145 8.271670e+01
 155 1.101607e+02
 165 1.464398e+02
 175 1.881380e+02
 185 2.395107e+02
 195 2.952046e+02
 205 3.669009e+02
 215 4.436990e+02
 225 5.289737e+02
 235 6.249736e+02
 245 7.310807e+02
 255 8.395838e+02
 265 9.497863e+02
 275 1.064338e+03
 285 1.180073e+03
 295 1.307670e+03
 305 1.428422e+03
 315 1.541367e+03
 325 1.661994e+03
 335 1.773129e+03
 345 1.876050e+03
 355 1.978423e+03
 365 2.074859e+03
 375 2.164609e+03
 385 2.236835e+03
 395 2.303676e+03
 405 2.350807e+03
 415 2.396356e+03
 425 2.434961e+03
 435 2.464022e+03
 445 2.477686e+03
 455 2.486878e+03
 465 2.479722e+03
 475 2.471346e+03
 485 2.458268e+03
 495 2.429990e+03
 505 2.394936e+03
 515 2.354276e+03
 525 2.307338e+03
 535 2.254624e+03
 545 2.190890e+03
 555 2.126190e+03
 565 2.059700e+03
 575 1.986458e+03
 585 1.913006e+03
 595 1.835292e+03
 605 1.755086e+03
 615 1.680962e+03
 625 1.603752e+03
 635 1.523182e+03
 645 1.439007e+03
 655 1.360182e+03
 665 1.276408e+03
 675 1.202321e+03
 685 1.127409e+03
 695 1.058001e+03
 705 9.842260e+02
 715 9.168682e+02
 725 8.529652e+02
 735 7.943462e+02
 745 7.363872e+02
 755 6.764926e+02
 765 6.239040e+02
 775 5.726120e+02
 785 5.210614e+02
 795 4.990564e+03
